gl,pt,es,la,gl_la,pt_la,es_la,notas,gl_la_2,pt_la_2,es_la_2,gl_simple,pt_simple,es_simple
coñecer,conhecer,conocer,cognoscere,gn,gn,,,gn,gn,,,,
recoñecer,reconhecer,reconocer,recognoscere,gn,gn,,,gn,gn,,,,
bañar,banhar,bañar,balneare,ne,ne,ne,,ni,ni,,nasal+i,nasal+i,
estrañar,estranhar,estrañar,extraneare,ne,ne,ne,,ni,ni,,nasal+i,nasal+i,
adiviñar,adivinhar,adivinar,addivinare,ni,ni,,Estraviz,ni,ni,,nasal+i,nasal+i,
amañar,ordenar,arreglar,admaniare,ni,,,,ni,,,nasal+i,,
estaño,estanho,estaño,stagnum,gn,gn,gn,,gn,gn,gn,nasal+velar,nasal+velar,nasal+velar
Alemaña,Alemanha,Alemania,Alemannia,ni,ni,,,ni,ni,,nasal+i,nasal+i,
España,Espanha,España,Hispania,ni,ni,ni,,ni,ni,,nasal+i,nasal+i,
niño,ninho,nido,nidus,nid,nid,,similar to verecundia,ni,ni,,nasal+i,nasal+i,
cociñar,cozinhar,cocinar,coquinare,in,in,,,in,in,,nasal+i,nasal+i,
viño,vinho,vino,vinum,num,num,,,num,num,,,,
muíño,moinho,molino,molinum,num,num,,,num,num,,,,
cociñeiro,cozinheiro,cocinero,coquinarius,in,in,,,in,in,,nasal+i,nasal+i,
cociña,cozinha,cocina,coquina,in,in,,,in,in,,nasal+i,nasal+i,
diñeiro,dinheiro,cuartos,denarius,en,en,,,in,in,,nasal+i,nasal+i,
araña,aranha,araña,aranea,ne,ne,ne,,ni,ni,,nasal+i,nasal+i,
golfiño,golfinho,delfín,delphinus,in,in,,,in,in,,nasal+i,nasal+i,
camiño,caminho,camino,camminus,in,in,,,in,in,,nasal+i,nasal+i,
poñer,pôr,poner,ponere,ne,,,,ni,,,nasal+i,,
estraño,estranho,extraño,extraneus,ne,ne,ne,,ni,ni,,nasal+i,nasal+i,
sardiña,sardinha,sardina,sardina,in,in,,,in,in,,nasal+i,nasal+i,
cuño,cunho,cuño,cuneus,ne,ne,ne,,ni,ni,,nasal+i,nasal+i,
vergoña,vergonha,vergüenza,verecundia,ndi,ndi,,,ni,ni,,nasal+i,nasal+i,
xoaniña,joaninha,mariquita,Iohannes,nn,nn,,,nn,nn,,long_n,long_n,
fariña,farinha,harina,farina,in,in,,,in,in,,nasal+i,nasal+i,
fariñáceo,farináceo,farináceo,farinaceu,in,,,,in,,,nasal+i,,
veciño,vizinho,vecino,vicinus,in,in,,,in,in,,nasal+i,nasal+i,
Sardeña,Sardenha,Cerdeña,Sardinia,in,in,in,,in,in,,nasal+i,nasal+i,
cegoña,cegonha,cigüeña,ciconia,ni,ni,ni,,ni,ni,,nasal+i,nasal+i,
liño,linho,lino,linum,in,in,,,in,in,,nasal+i,nasal+i,
sobriño,sobrinho,sobrino,sobrinus,in,in,,,in,in,,nasal+i,nasal+i,
acivro,azevinho,acebo,aquifolium,,,,pt_diminutivo não etimológico,,,,,,
acariciar,acarinhar,acariciar,carere,,,,pt_empréstimo tardio,,,,,,
Delfín,Golfinho,Delfín,delphinus,,in,,,,in,,,nasal+i,
alborada,amanhecer,amanecer,albor\mania,,ni,,,,ni,,,nasal+i,
pergameo,pergaminho,pergamino,pergaminum,,in,,,,in,,,nasal+i,
outono,outono,otoño,autumnus,,,mn,,,,,,,
perfeba,pestana,pestaña,Palpetra\pistanna,,,nn,Estraviz,,,nn,,,long_n
pulso,pulso,muñeca,pulsus\monneka,,,nn,es_substrato pré-romano,,,,,,long_n
ano,ano,año,annus,,,nn,,,,,,,long_n
tinxir,tingir,teñir,tingere,,,ng,,,,ng,,,nasal+velar
constrinxir,constringir,constreñir,constringere,,,ng,,,,ng,,,nasal+velar
estrinxir,obstipar,estreñir,stringere,,,ng,,,,ng,,,nasal+velar
