item,length
p_gl,0.19241
p_pt,0.19319
p_es,0.1928
m_gl,0.16454
m_pt,0.16492
m_es,0.16647
lh_gl,0.01355
lh_pt,0.01355
lh_es,0.0182
nh_gl,0.0151
nh_pt,0.01626
nh_es,0.00736
