gl,pt,es,la
galego,galego,gallego,Gallaecus
castelán,castelhano,castellano,Castellanus
alimento,alimento,alimento,alimentum
armamento,armamento,armamento,armamentum
aumento,aumento,aumento,augmentu
cemento,cimento,cemento,caementu
condimento,condimento,condimento,condimentum
tres,três,tres,tres
catro,quatro,cuatro,quattuor
cinco,cinco,cinco,quinque
seis,seis,seis,sex
sete,sete,siete,septem
oito,oito,ocho,octo
nove,nove,nueve,novem
dez,dez,diez,decem
once,onze,once,undecim
doce,doce,dulce,dulce
trece,treze,trece,tredecim
catorce,catorze,catorce,quattuordecim
quince,quinze,quince,quindecim
vinte,vinte,veinte,viginti
trinta,trinta,treinta,triginta
corenta,quarenta,cuarenta,quadraginta
cincuenta,cinqüenta,cincuenta,quinquaginta
sesenta,sessenta,sesenta,sexginta
setenta,setenta,setenta,septuaginta
oitenta,oitenta,ochenta,octaginta
noventa,noventa,noventa,nonaginta
cen,cem,cien,centum
dous,dois,dos,duos
deus,deus,dios,deus
latín,latim,latín,lingua
cimento,cimento,cimiento,caementum
aburrimento,aborrecimento,aburrimiento,abhorreo
endeusamento,endeusamento,endiosamiento,deus
excremento,excremento,excremento,excrementum
experimento,experimento,experimento,experimentum
fermento,fermento,fermento,fermentum
filamento,filamento,filamento,filamentum
momento,momento,momento,momentum
pigmento,pigmento,pigmento,pigmentum
presentimento,pressentimento,premonición,praesentio
sentimento,sentimento,sentimiento,sentimentum
suplemento,suplemento,suplemento,supplementu
cebra,zebra,cebra,pluvia
inversión,inversão,inversión,inversio
mentir,mentir,mentir,mentire
arianismo,arianismo,arrianismo,arianus
atavismo,atavismo,atavismo,atavus
barbarismo,barbarismo,barbarismo,barbarismus
bautismo,batismo,bautismo,baptisma
cataclismo,cataclismo,cataclismo,cataclysmos
cinismo,cinismo,cinismo,cynismus
actividade,atividade,actividad,activitas
actualidade,atualidade,actualidad,actualis
adversidade,adversidade,adversidad,adversitas
axilidade,agilidade,agilidad,agilitas
alacridade,alacridade,alacridad,alacritas
amabilidade,amabilidade,amabilidad,amabilitas
ambigüidade,ambiguidade,ambigüedad,ambiguitas
alteridade,alteridade,alteridad,alteritas
animosidade,animosidade,animosidad,animositas
ansiedade,ansiedade,ansiedad,anxietate
antigüidade,antiguidade,antigüedad,antiquitate
aseidade,asseidade,aseidad,aseitas
atrocidade,atrocidade,atrocidad,atrocitas
autoridade,autoridade,autoridad,auctoritas
beldade,beldade,beldad,bellitas
benignidade,benignidade,benignidad,benignitas
calamidade,calamidade,calamidad,calamitas
calidade,qualidade,calidad,qualitas
cantidade,quantidade,cantidad,quantitas
calosidade,calosidade,callosidad,callositas
capacidade,capacidade,capacidad,capacĭtas
catividade,catividade,cautividad,captivitas
celebridade,celebridade,celebridad,celebritas
cavidade,cavidade,cavidad,cavitas
concavidade,concavidade,concavidad,concavitas
contigüidade,contiguidade,contigüidad,contiguitas
contrariedade,contrariedade,contrariedad,contrariĕtāte
corporalidade,corporalidade,corporalidad,corporalitas
credibilidade,credibilidade,credibilidad,credibilitas
credulidade,credulidade,credulidad,credulitas
crueldade,crueldade,crueldad,crudelitas
culpabilidade,culpabilidade,culpabilidad,culpabilis
deidade,deidade,deidad,
densidade,densidade,densidad,densitas
diversidade,diversidade,diversidad,diversitas
divindade,divindade,divinidad,divinitate
docilidade,docilidade,docilidad,docilitas
ecuanimidade,equanimidade,ecuanimidad,aequanimĭtāte
idade,idade,edad,aetas
enfermidade,doença,enfermedad,
entidade,entidade,entidad,entitas
equidade,equidade,equidad,aequitas
especialidade,especialidade,especialidad,specialitas
espiritualidade,espiritualidade,espiritualidad,spiritualitas
estabilidade,estabilidade,estabilidad,stabilitas
esterilidade,esterilidade,esterilidad,sterilitas
eternidade,eternidade,eternidad,aeternitas
facilidade,facilidade,facilidad,facilītāte
felicidade,felicidade,felicidad,felicitas
ferocidade,ferocidade,ferocidad,ferocitas
fidelidade,fidelidade,fidelidad,fidelitas
fraxilidade,fragilidade,fragilidad,fragilitas
fugacidade,fugacidade,fugacidad,fugacitas
frugalidade,frugalidade,frugalidad,frugalitas
futilidade,futilidade,futilidad,futilitas
xeneralidade,generalidade,generalidad,generalitas
xenialidade,genialidade,genialidad,genialitas
xentilidade,gentilidade,gentilidad,gentilitas
xibosidade,gibosidade,gibosidad,gibbosus
habilidade,habilidade,habilidad,habilitate
heteroxeneidade,heterogeneidade,heterogeneidad,
homosexualidade,homossexualidade,homosexualidad,
humanidade,humanidade,humanidad,humanĭtas
humidade,humidade,humedad,humiditas
humildade,humildade,humildad,humilĭtāte
imbecilidade,imbecilidade,imbecilidad,imbecillitas
impiedade,impiedade,impiedad,impietas
improbabilidade,improbabilidade,improbabilidad,improbabilitas
impropiedade,impropriedade,impropiedad,improprietas
improbidade,improbidade,improbidad,improbitate
impunidade,impunidade,impunidad,impunitas
inaccesibilidade,inacessibilidade,inaccesibilidad,inaccessibilitas
inanidade,inanidade,inanidad,inanitas
incapacidade,incapacidade,incapacidad,incapacitas
incredulidade,incredulidade,incredulidad,incredulĭtate
incredibilidade,incredibilidade,incredibilidad,incredibilitas
